Employee Diversity in Tech,,,,,,,,,,,
Date,Type,Company, Female % , Male % , % White , % Asian , % Latino , % Black , % Multi , % Other , % Undeclared 
2015,Social Media,Twitter,30,70,59,29,3,2,3,4,
2015,Tech,Yahoo!,37,62,50,39,4,2,2,2,1
2015,Tech,Google,30,70,60,31,3,2,3,1,
2015,Tech,Apple,31,69,54,18,11,8,2,1,6
2015,Tech,Cisco,23,77,54,,,,,,
2015,Tech,eBay,43,57,60,25,5,8,1,1,
2015,Tech,HP,33,67,72,6,14,7,1, -   ,
2015,Tech,Indiegogo,45,55,64,23,8,2,,3,
2015,Tech,Nvidia,16.05,83.95,38,44,3,1,14, -   ,
2015,Tech,Dell,30,70.45,68.65,9.11,11.14,10.04,,0.97,
2015,Tech,Ingram Micro,42,58.22,63.03,10.52,15.7,10.13,,0.48,
2015,Tech,Intel,25,75.44,60.81,26.05,8.63,3.61,,0.93,
2015,Tech,Groupon,47,53,71,15,5,4,,4,
2015,Tech,Amazon,37,63,60,13,9,15,,3,
2015,Tech,Etsy,51,49,79,11,4,3,3, -   ,
2015,Tech,Microsoft,28,72,59,28.9,5.1,3.5,1.2,0.8,
2015,Tech,Salesforce,29,71,67,22,4,2,2,3,
2015,Tech,Pandora,49,51,71,12,7,3,6,1,
2015,Entity,DiversityInc top 50,54,46,68,10,10,12,,,
2015,Entity,Fortune 500 CEOs,4.8,95,83,1.8,2,1.2,,,
2015,Entity,Kaiser Permanente,76,24,48,20,18,13,,,
2015,Government,US Congress,19,81,80,5.6,6,8,,,
2015,Entity,Venture Capitalists,11,89,87,9,2,2,2,,
